method_key,method,source,num_workers,final_update,env_steps,final_train_return,best_train_return,final_median_return,final_q25_return,final_fall_rate,best_robust_score,median_robust_score,num_clones
baseline,Baseline PPO,outputs/baseline_humanoid_v5/baseline_train.csv,1,122.0,999424.0,,,,,,,,
baseline,Baseline PPO,outputs/smoke_baseline/baseline_train.csv,1,32.0,8192.0,,,,,,,,
average,Naive Average PPO,outputs/average_population_humanoid_v5/average_rounds.csv,4,50.0,13107200.0,6100.232592795515,6658.503678209813,6388.003960226083,,0.05,,,
heavytail,Robust Heavy-Tail Cooperative PPO,outputs/heavytail_population_humanoid_v5/heavytail_rounds.csv,4,50.0,13107200.0,702.5665212485629,818.7501982073638,669.5077099069737,603.5023480493331,1.0,496.68832649706246,432.295373922068,2.0
heavytail,Robust Heavy-Tail Cooperative PPO,outputs/scaling_humanoid_v5/N_1/heavytail_rounds.csv,1,20.0,,493.8055137082223,314.5472563244326,489.9665586064219,489.4447378951893,1.0,234.4280171984003,234.4280171984003,0.0
heavytail,Robust Heavy-Tail Cooperative PPO,outputs/scaling_humanoid_v5/N_2/heavytail_rounds.csv,2,20.0,,447.4243517630902,240.24745065610136,418.1157025130252,375.29291923044036,1.0,131.1049141225235,84.35077048695297,1.0
heavytail,Robust Heavy-Tail Cooperative PPO,outputs/scaling_humanoid_v5/N_4/heavytail_rounds.csv,4,20.0,,532.5585779923956,303.6709000344591,531.5793355706412,467.15773736825247,1.0,303.6709000344591,223.33686641217287,2.0
heavytail,Robust Heavy-Tail Cooperative PPO,outputs/scaling_humanoid_v5/N_8/heavytail_rounds.csv,8,20.0,,513.1831700493237,360.87326933602753,498.0415237033314,467.33804097368983,1.0,351.44455806806013,192.91043175588965,2.0
heavytail,Robust Heavy-Tail Cooperative PPO,outputs/smoke_heavytail_population/heavytail_rounds.csv,2,2.0,8192.0,217.82655916763497,-69.14448620928482,217.82655916763497,213.92061180128826,1.0,-69.14448620928482,-177.16610861489423,1.0
